url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,27,21
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,3,3
/grp-bork/microbial_load_predictor/tree/main/R,3,1
/grp-bork/microbial_load_predictor/blob/main/README.md,2,2
/grp-bork/microbial_load_predictor/tree/main,2,2
/grp-bork/microbial_load_predictor/tree/main/inst/extdata,2,2
/grp-bork/microbial_load_predictor/tree/main/inst/extdata/galaxy,2,2
/grp-bork/microbial_load_predictor/blob/main/DESCRIPTION,1,1
/grp-bork/microbial_load_predictor/blob/main/example_code.R,1,1
/grp-bork/microbial_load_predictor/blob/main/test_data/Vandeputte_2017_16S.tsv,1,1
