url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,40,20
/grp-bork/microbial_load_predictor/issues,12,3
/grp-bork/microbial_load_predictor/issues/9,10,2
/grp-bork/microbial_load_predictor/issues/6,8,3
/grp-bork/microbial_load_predictor/tree/main/inst/extdata,3,2
/grp-bork/microbial_load_predictor/tree/main/inst/extdata/galaxy,3,2
/grp-bork/microbial_load_predictor/blob/main/assets/MLP_logo2.png,3,1
/grp-bork/microbial_load_predictor/blob/main/README.md,2,2
/grp-bork/microbial_load_predictor/tree/main,2,2
/grp-bork/microbial_load_predictor/tree/main/assets,2,2
