url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,35,15
/grp-bork/microbial_load_predictor/issues,24,3
/grp-bork/microbial_load_predictor/issues/9,14,3
/grp-bork/microbial_load_predictor/issues/6,9,3
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,4,1
/grp-bork/microbial_load_predictor/blob/main/README.md,2,2
/grp-bork/microbial_load_predictor/issues/new,2,1
/grp-bork/microbial_load_predictor/pulse,2,1
/grp-bork/microbial_load_predictor/tree/main,2,1
/grp-bork/microbial_load_predictor/tree/main/inst/extdata,2,1
