url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,31,23
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,4,3
/grp-bork/microbial_load_predictor/tree/main/R,4,2
/grp-bork/microbial_load_predictor/tree/main,3,3
/grp-bork/microbial_load_predictor/tree/main/inst/extdata,3,2
/grp-bork/microbial_load_predictor/tree/main/inst/extdata/galaxy,3,2
/grp-bork/microbial_load_predictor/blob/main/assets/MLP_logo2.png,3,1
/grp-bork/microbial_load_predictor/blob/main/README.md,2,2
/grp-bork/microbial_load_predictor/issues,2,2
/grp-bork/microbial_load_predictor/issues/6,2,2
