url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,40,18
/grp-bork/microbial_load_predictor/issues,20,3
/grp-bork/microbial_load_predictor/issues/9,12,3
/grp-bork/microbial_load_predictor/issues/6,9,3
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,4,1
/grp-bork/microbial_load_predictor/tree/main,3,2
/grp-bork/microbial_load_predictor/tree/main/inst/extdata/galaxy,3,2
/grp-bork/microbial_load_predictor/blob/main/assets/MLP_logo2.png,3,1
/grp-bork/microbial_load_predictor/tree/main/assets,2,2
/grp-bork/microbial_load_predictor/issues/new,2,1
